YEAR	MONTH	STATE	TYPE OF PRODUCER	ENERGY SOURCE	GENERATION (Megawatthours)
2019	2	MA	Total Electric Power Industry	Natural Gas	1368178
2019	2	MA	Total Electric Power Industry	Nuclear	455294
2019	2	MA	Total Electric Power Industry	Other	68150
2019	2	MA	Total Electric Power Industry	Petroleum	2559
2019	2	MA	Total Electric Power Industry	Solar Thermal and Photovoltaic	62205
2019	2	MA	Total Electric Power Industry	Other Biomass	69298
2019	2	MA	Total Electric Power Industry	Wind	17479
2019	2	MA	Total Electric Power Industry	Wood and Wood Derived Fuels	10411
2019	2	MA	Combined Heat and Power, Industrial Power	Total	22106
2019	2	MA	Combined Heat and Power, Industrial Power	Coal	0
2019	2	MA	Combined Heat and Power, Industrial Power	Natural Gas	21499
2019	2	MA	Combined Heat and Power, Industrial Power	Other	0
2019	2	MA	Combined Heat and Power, Industrial Power	Petroleum	99
2019	2	MA	Combined Heat and Power, Industrial Power	Solar Thermal and Photovoltaic	298
2019	2	MA	Combined Heat and Power, Industrial Power	Wind	211
2019	2	MA	Combined Heat and Power, Commercial Power	Total	56683
2019	2	MA	Combined Heat and Power, Commercial Power	Hydroelectric Conventional	588
2019	2	MA	Combined Heat and Power, Commercial Power	Natural Gas	50427
2019	2	MA	Combined Heat and Power, Commercial Power	Petroleum	605
2019	2	MA	Combined Heat and Power, Commercial Power	Solar Thermal and Photovoltaic	403
2019	2	MA	Combined Heat and Power, Commercial Power	Other Biomass	2205
2019	2	MA	Combined Heat and Power, Commercial Power	Wind	2454
2019	2	MA	Combined Heat and Power, Electric Power	Total	158971
2019	2	MA	Combined Heat and Power, Electric Power	Natural Gas	158968
2019	2	MA	Combined Heat and Power, Electric Power	Petroleum	2
2019	2	MA	Electric Generators, Independent Power Producers	Total	1845129
2019	2	MA	Electric Generators, Independent Power Producers	Coal	0
2019	2	MA	Electric Generators, Independent Power Producers	Pumped Storage	-29180
2019	2	MA	Electric Generators, Independent Power Producers	Hydroelectric Conventional	68621
2019	2	MA	Electric Generators, Independent Power Producers	Natural Gas	1137226
2019	2	MA	Electric Generators, Independent Power Producers	Nuclear	455294
2019	2	MA	Electric Generators, Independent Power Producers	Other	68150
2019	2	MA	Electric Generators, Independent Power Producers	Petroleum	868
2019	2	MA	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	56241
2019	2	MA	Electric Generators, Independent Power Producers	Other Biomass	67093
2019	2	MA	Electric Generators, Independent Power Producers	Wind	10405
2019	2	MA	Electric Generators, Independent Power Producers	Wood and Wood Derived Fuels	10411
2019	2	MA	Electric Generators, Electric Utilities	Total	33813
2019	2	MA	Electric Generators, Electric Utilities	Hydroelectric Conventional	23098
2019	2	MA	Electric Generators, Electric Utilities	Natural Gas	58
2019	2	MA	Electric Generators, Electric Utilities	Other	0
2019	2	MA	Electric Generators, Electric Utilities	Petroleum	985
2019	2	MA	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	5263
2019	2	MA	Electric Generators, Electric Utilities	Wind	4409
2019	3	MA	Total Electric Power Industry	Total	2190484
2019	3	MA	Total Electric Power Industry	Coal	0
2019	3	MA	Total Electric Power Industry	Pumped Storage	-44518
2019	3	MA	Total Electric Power Industry	Hydroelectric Conventional	104180
2019	3	MA	Total Electric Power Industry	Natural Gas	1345562
2019	3	MA	Total Electric Power Industry	Nuclear	492267
2019	3	MA	Total Electric Power Industry	Other	79650
2019	3	MA	Total Electric Power Industry	Petroleum	2802
2019	3	MA	Total Electric Power Industry	Solar Thermal and Photovoltaic	101637
2019	3	MA	Total Electric Power Industry	Other Biomass	79770
2019	3	MA	Total Electric Power Industry	Wind	20012
2019	3	MA	Total Electric Power Industry	Wood and Wood Derived Fuels	9123
2019	3	MA	Combined Heat and Power, Industrial Power	Total	23708
2019	3	MA	Combined Heat and Power, Industrial Power	Coal	0
2019	3	MA	Combined Heat and Power, Industrial Power	Natural Gas	23060
2019	3	MA	Combined Heat and Power, Industrial Power	Other	0
2019	3	MA	Combined Heat and Power, Industrial Power	Petroleum	5
2019	3	MA	Combined Heat and Power, Industrial Power	Solar Thermal and Photovoltaic	451
2019	3	MA	Combined Heat and Power, Industrial Power	Wind	192
2019	3	MA	Combined Heat and Power, Commercial Power	Total	54258
2019	3	MA	Combined Heat and Power, Commercial Power	Hydroelectric Conventional	636
2019	3	MA	Combined Heat and Power, Commercial Power	Natural Gas	46770
2019	3	MA	Combined Heat and Power, Commercial Power	Petroleum	1044
2019	3	MA	Combined Heat and Power, Commercial Power	Solar Thermal and Photovoltaic	636
2019	3	MA	Combined Heat and Power, Commercial Power	Other Biomass	2355
2019	3	MA	Combined Heat and Power, Commercial Power	Wind	2819
2019	3	MA	Combined Heat and Power, Electric Power	Total	181418
2019	3	MA	Combined Heat and Power, Electric Power	Natural Gas	181394
2019	3	MA	Combined Heat and Power, Electric Power	Petroleum	24
2019	3	MA	Electric Generators, Independent Power Producers	Total	1887991
2019	3	MA	Electric Generators, Independent Power Producers	Coal	0
2019	3	MA	Electric Generators, Independent Power Producers	Pumped Storage	-44518
2019	3	MA	Electric Generators, Independent Power Producers	Hydroelectric Conventional	77458
2019	3	MA	Electric Generators, Independent Power Producers	Natural Gas	1091813
2019	3	MA	Electric Generators, Independent Power Producers	Nuclear	492267
2019	3	MA	Electric Generators, Independent Power Producers	Other	79650
2019	3	MA	Electric Generators, Independent Power Producers	Petroleum	595
2019	3	MA	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	92409
2019	3	MA	Electric Generators, Independent Power Producers	Other Biomass	77416
2019	3	MA	Electric Generators, Independent Power Producers	Wind	11778
2019	3	MA	Electric Generators, Independent Power Producers	Wood and Wood Derived Fuels	9123
2019	3	MA	Electric Generators, Electric Utilities	Total	43109
2019	3	MA	Electric Generators, Electric Utilities	Hydroelectric Conventional	26086
2019	3	MA	Electric Generators, Electric Utilities	Natural Gas	2524
2019	3	MA	Electric Generators, Electric Utilities	Other	0
2019	3	MA	Electric Generators, Electric Utilities	Petroleum	1134
2019	3	MA	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	8142
2019	3	MA	Electric Generators, Electric Utilities	Wind	5223
2019	4	MA	Total Electric Power Industry	Total	1819778
2019	4	MA	Total Electric Power Industry	Coal	0
2019	4	MA	Total Electric Power Industry	Pumped Storage	-38606
2019	4	MA	Total Electric Power Industry	Hydroelectric Conventional	92797
2019	4	MA	Total Electric Power Industry	Natural Gas	990945
2019	4	MA	Total Electric Power Industry	Nuclear	476826
2019	4	MA	Total Electric Power Industry	Other	75722
2019	4	MA	Total Electric Power Industry	Petroleum	2719
2019	4	MA	Total Electric Power Industry	Solar Thermal and Photovoltaic	110762
2019	4	MA	Total Electric Power Industry	Other Biomass	75905
2019	4	MA	Total Electric Power Industry	Wind	24662
2019	4	MA	Total Electric Power Industry	Wood and Wood Derived Fuels	8048
2019	4	MA	Combined Heat and Power, Industrial Power	Total	20885
2019	4	MA	Combined Heat and Power, Industrial Power	Coal	0
2019	4	MA	Combined Heat and Power, Industrial Power	Natural Gas	19963
2019	4	MA	Combined Heat and Power, Industrial Power	Other	0
2019	4	MA	Combined Heat and Power, Industrial Power	Petroleum	2
2019	4	MA	Combined Heat and Power, Industrial Power	Solar Thermal and Photovoltaic	515
2019	4	MA	Combined Heat and Power, Industrial Power	Wind	406
2019	4	MA	Combined Heat and Power, Commercial Power	Total	44703
2019	4	MA	Combined Heat and Power, Commercial Power	Hydroelectric Conventional	562
2019	4	MA	Combined Heat and Power, Commercial Power	Natural Gas	37317
2019	4	MA	Combined Heat and Power, Commercial Power	Petroleum	972
2019	4	MA	Combined Heat and Power, Commercial Power	Solar Thermal and Photovoltaic	709
2019	4	MA	Combined Heat and Power, Commercial Power	Other Biomass	2603
2019	4	MA	Combined Heat and Power, Commercial Power	Wind	2540
2019	4	MA	Combined Heat and Power, Electric Power	Total	178921
2019	4	MA	Combined Heat and Power, Electric Power	Natural Gas	178919
2019	4	MA	Combined Heat and Power, Electric Power	Petroleum	2
2019	4	MA	Electric Generators, Independent Power Producers	Total	1531154
2019	4	MA	Electric Generators, Independent Power Producers	Coal	0
2019	4	MA	Electric Generators, Independent Power Producers	Pumped Storage	-38606
2019	4	MA	Electric Generators, Independent Power Producers	Hydroelectric Conventional	69173
2019	4	MA	Electric Generators, Independent Power Producers	Natural Gas	749755
2019	4	MA	Electric Generators, Independent Power Producers	Nuclear	476826
2019	4	MA	Electric Generators, Independent Power Producers	Other	75722
2019	4	MA	Electric Generators, Independent Power Producers	Petroleum	934
2019	4	MA	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	100436
2019	4	MA	Electric Generators, Independent Power Producers	Other Biomass	73302
2019	4	MA	Electric Generators, Independent Power Producers	Wind	15566
2019	4	MA	Electric Generators, Independent Power Producers	Wood and Wood Derived Fuels	8048
2019	4	MA	Electric Generators, Electric Utilities	Total	44114
2019	4	MA	Electric Generators, Electric Utilities	Hydroelectric Conventional	23062
2019	4	MA	Electric Generators, Electric Utilities	Natural Gas	4991
2019	4	MA	Electric Generators, Electric Utilities	Other	0
2019	4	MA	Electric Generators, Electric Utilities	Petroleum	809
2019	4	MA	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	9102
2019	4	MA	Electric Generators, Electric Utilities	Wind	6150
2019	5	MA	Total Electric Power Industry	Total	1530286
2019	5	MA	Total Electric Power Industry	Coal	0
2019	5	MA	Total Electric Power Industry	Pumped Storage	-27528
2019	5	MA	Total Electric Power Industry	Hydroelectric Conventional	97732
2019	5	MA	Total Electric Power Industry	Natural Gas	867725
2019	5	MA	Total Electric Power Industry	Nuclear	302379
2019	5	MA	Total Electric Power Industry	Other	68163
2019	5	MA	Total Electric Power Industry	Petroleum	2798
2019	5	MA	Total Electric Power Industry	Solar Thermal and Photovoltaic	119346
2019	5	MA	Total Electric Power Industry	Other Biomass	70213
2019	5	MA	Total Electric Power Industry	Wind	18163
2019	5	MA	Total Electric Power Industry	Wood and Wood Derived Fuels	11294
2019	5	MA	Combined Heat and Power, Industrial Power	Total	23261
2019	5	MA	Combined Heat and Power, Industrial Power	Coal	0
2019	5	MA	Combined Heat and Power, Industrial Power	Natural Gas	22441
2019	5	MA	Combined Heat and Power, Industrial Power	Other	0
2019	5	MA	Combined Heat and Power, Industrial Power	Petroleum	0
2019	5	MA	Combined Heat and Power, Industrial Power	Solar Thermal and Photovoltaic	554
2019	5	MA	Combined Heat and Power, Industrial Power	Wind	267
2019	5	MA	Combined Heat and Power, Commercial Power	Total	50482
2019	5	MA	Combined Heat and Power, Commercial Power	Hydroelectric Conventional	580
2019	5	MA	Combined Heat and Power, Commercial Power	Natural Gas	44571
2019	5	MA	Combined Heat and Power, Commercial Power	Petroleum	939
2019	5	MA	Combined Heat and Power, Commercial Power	Solar Thermal and Photovoltaic	759
2019	5	MA	Combined Heat and Power, Commercial Power	Other Biomass	2071
2019	5	MA	Combined Heat and Power, Commercial Power	Wind	1563
2019	5	MA	Combined Heat and Power, Electric Power	Total	106293
2019	5	MA	Combined Heat and Power, Electric Power	Natural Gas	106293
2019	5	MA	Combined Heat and Power, Electric Power	Petroleum	0
2019	5	MA	Electric Generators, Independent Power Producers	Total	1308940
2019	5	MA	Electric Generators, Independent Power Producers	Coal	0
2019	5	MA	Electric Generators, Independent Power Producers	Pumped Storage	-27528
2019	5	MA	Electric Generators, Independent Power Producers	Hydroelectric Conventional	73564
2019	5	MA	Electric Generators, Independent Power Producers	Natural Gas	691626
2019	5	MA	Electric Generators, Independent Power Producers	Nuclear	302379
2019	5	MA	Electric Generators, Independent Power Producers	Other	68163
2019	5	MA	Electric Generators, Independent Power Producers	Petroleum	1187
2019	5	MA	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	108529
2019	5	MA	Electric Generators, Independent Power Producers	Other Biomass	68143
2019	5	MA	Electric Generators, Independent Power Producers	Wind	11583
2019	5	MA	Electric Generators, Independent Power Producers	Wood and Wood Derived Fuels	11294
2019	5	MA	Electric Generators, Electric Utilities	Total	41310
2019	5	MA	Electric Generators, Electric Utilities	Hydroelectric Conventional	23587
2019	5	MA	Electric Generators, Electric Utilities	Natural Gas	2795
2019	5	MA	Electric Generators, Electric Utilities	Other	0
2019	5	MA	Electric Generators, Electric Utilities	Petroleum	673
2019	5	MA	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	9505
2019	5	MA	Electric Generators, Electric Utilities	Wind	4750
2019	6	MA	Total Electric Power Industry	Total	1478814
2019	6	MA	Total Electric Power Industry	Coal	0
2019	6	MA	Total Electric Power Industry	Pumped Storage	-32029
2019	6	MA	Total Electric Power Industry	Hydroelectric Conventional	90238
2019	6	MA	Total Electric Power Industry	Natural Gas	1120992
2019	6	MA	Total Electric Power Industry	Other	68608
2019	6	MA	Total Electric Power Industry	Petroleum	2361
2019	6	MA	Total Electric Power Industry	Solar Thermal and Photovoltaic	128136
2019	6	MA	Total Electric Power Industry	Other Biomass	70921
2019	6	MA	Total Electric Power Industry	Wind	19230
2019	6	MA	Total Electric Power Industry	Wood and Wood Derived Fuels	10357
2019	6	MA	Combined Heat and Power, Industrial Power	Total	19402
2019	6	MA	Combined Heat and Power, Industrial Power	Coal	0
2019	6	MA	Combined Heat and Power, Industrial Power	Natural Gas	18384
2019	6	MA	Combined Heat and Power, Industrial Power	Other	0
2019	6	MA	Combined Heat and Power, Industrial Power	Petroleum	0
2019	6	MA	Combined Heat and Power, Industrial Power	Solar Thermal and Photovoltaic	615
2019	6	MA	Combined Heat and Power, Industrial Power	Wind	403
2019	6	MA	Combined Heat and Power, Commercial Power	Total	53279
2019	6	MA	Combined Heat and Power, Commercial Power	Hydroelectric Conventional	428
2019	6	MA	Combined Heat and Power, Commercial Power	Natural Gas	48072
2019	6	MA	Combined Heat and Power, Commercial Power	Petroleum	475
2019	6	MA	Combined Heat and Power, Commercial Power	Solar Thermal and Photovoltaic	819
2019	6	MA	Combined Heat and Power, Commercial Power	Other Biomass	2350
2019	6	MA	Combined Heat and Power, Commercial Power	Wind	1136
2019	6	MA	Combined Heat and Power, Electric Power	Total	156611
2019	6	MA	Combined Heat and Power, Electric Power	Natural Gas	156610
2019	6	MA	Combined Heat and Power, Electric Power	Petroleum	1
2019	6	MA	Electric Generators, Independent Power Producers	Total	1204747
2019	6	MA	Electric Generators, Independent Power Producers	Coal	0
2019	6	MA	Electric Generators, Independent Power Producers	Pumped Storage	-32029
2019	6	MA	Electric Generators, Independent Power Producers	Hydroelectric Conventional	68238
2019	6	MA	Electric Generators, Independent Power Producers	Natural Gas	890512
2019	6	MA	Electric Generators, Independent Power Producers	Other	68608
2019	6	MA	Electric Generators, Independent Power Producers	Petroleum	1089
2019	6	MA	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	116485
2019	6	MA	Electric Generators, Independent Power Producers	Other Biomass	68572
2019	6	MA	Electric Generators, Independent Power Producers	Wind	12916
2019	6	MA	Electric Generators, Independent Power Producers	Wood and Wood Derived Fuels	10357
2019	6	MA	Electric Generators, Electric Utilities	Total	44775
2019	6	MA	Electric Generators, Electric Utilities	Hydroelectric Conventional	21572
2019	6	MA	Electric Generators, Electric Utilities	Natural Gas	7415
2019	6	MA	Electric Generators, Electric Utilities	Other	0
2019	6	MA	Electric Generators, Electric Utilities	Petroleum	796
2019	6	MA	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	10217
2019	6	MA	Electric Generators, Electric Utilities	Wind	4775
2019	7	MA	Total Electric Power Industry	Total	2531252
2019	7	MA	Total Electric Power Industry	Coal	0
2019	7	MA	Total Electric Power Industry	Pumped Storage	-53229
2019	7	MA	Total Electric Power Industry	Hydroelectric Conventional	95761
2019	7	MA	Total Electric Power Industry	Natural Gas	2150339
2019	7	MA	Total Electric Power Industry	Other	74121
2019	7	MA	Total Electric Power Industry	Petroleum	24679
2019	7	MA	Total Electric Power Industry	Solar Thermal and Photovoltaic	137791
2019	7	MA	Total Electric Power Industry	Other Biomass	75561
2019	7	MA	Total Electric Power Industry	Wind	15221
2019	7	MA	Total Electric Power Industry	Wood and Wood Derived Fuels	11008
2019	7	MA	Combined Heat and Power, Industrial Power	Total	23581
2019	7	MA	Combined Heat and Power, Industrial Power	Coal	0
2019	7	MA	Combined Heat and Power, Industrial Power	Natural Gas	22616
2019	7	MA	Combined Heat and Power, Industrial Power	Other	0
2019	7	MA	Combined Heat and Power, Industrial Power	Petroleum	0
2019	7	MA	Combined Heat and Power, Industrial Power	Solar Thermal and Photovoltaic	668
2019	7	MA	Combined Heat and Power, Industrial Power	Wind	297
2019	7	MA	Combined Heat and Power, Commercial Power	Total	65031
2019	7	MA	Combined Heat and Power, Commercial Power	Hydroelectric Conventional	476
2019	7	MA	Combined Heat and Power, Commercial Power	Natural Gas	59587
2019	7	MA	Combined Heat and Power, Commercial Power	Petroleum	1046
2019	7	MA	Combined Heat and Power, Commercial Power	Solar Thermal and Photovoltaic	869
2019	7	MA	Combined Heat and Power, Commercial Power	Other Biomass	2124
2019	7	MA	Combined Heat and Power, Commercial Power	Wind	929
2019	7	MA	Combined Heat and Power, Electric Power	Total	152031
2019	7	MA	Combined Heat and Power, Electric Power	Natural Gas	151928
2019	7	MA	Combined Heat and Power, Electric Power	Petroleum	102
2019	7	MA	Electric Generators, Independent Power Producers	Total	2195391
2019	7	MA	Electric Generators, Independent Power Producers	Coal	0
2019	7	MA	Electric Generators, Independent Power Producers	Pumped Storage	-53229
2019	7	MA	Electric Generators, Independent Power Producers	Hydroelectric Conventional	71419
2019	7	MA	Electric Generators, Independent Power Producers	Natural Gas	1860719
2019	7	MA	Electric Generators, Independent Power Producers	Other	74121
2019	7	MA	Electric Generators, Independent Power Producers	Petroleum	22250
2019	7	MA	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	125520
2019	7	MA	Electric Generators, Independent Power Producers	Other Biomass	73437
2019	7	MA	Electric Generators, Independent Power Producers	Wind	10146
2019	7	MA	Electric Generators, Independent Power Producers	Wood and Wood Derived Fuels	11008
2019	7	MA	Electric Generators, Electric Utilities	Total	95218
2019	7	MA	Electric Generators, Electric Utilities	Hydroelectric Conventional	23865
2019	7	MA	Electric Generators, Electric Utilities	Natural Gas	55489
2019	7	MA	Electric Generators, Electric Utilities	Other	0
2019	7	MA	Electric Generators, Electric Utilities	Petroleum	1281
2019	7	MA	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	10733
2019	7	MA	Electric Generators, Electric Utilities	Wind	3850
2019	8	MA	Total Electric Power Industry	Total	1989354
2019	8	MA	Total Electric Power Industry	Coal	0
2019	8	MA	Total Electric Power Industry	Pumped Storage	-42616
2019	8	MA	Total Electric Power Industry	Hydroelectric Conventional	74731
2019	8	MA	Total Electric Power Industry	Natural Gas	1628833
2019	8	MA	Total Electric Power Industry	Other	82758
2019	8	MA	Total Electric Power Industry	Petroleum	12399
2019	8	MA	Total Electric Power Industry	Solar Thermal and Photovoltaic	127340
2019	8	MA	Total Electric Power Industry	Other Biomass	82224
2019	8	MA	Total Electric Power Industry	Wind	13146
2019	8	MA	Total Electric Power Industry	Wood and Wood Derived Fuels	10539
2019	8	MA	Combined Heat and Power, Industrial Power	Total	24028
2019	8	MA	Combined Heat and Power, Industrial Power	Coal	0
2019	8	MA	Combined Heat and Power, Industrial Power	Natural Gas	23359
2019	8	MA	Combined Heat and Power, Industrial Power	Other	0
2019	8	MA	Combined Heat and Power, Industrial Power	Petroleum	0
2019	8	MA	Combined Heat and Power, Industrial Power	Solar Thermal and Photovoltaic	447
2019	8	MA	Combined Heat and Power, Industrial Power	Wind	222
2019	8	MA	Combined Heat and Power, Commercial Power	Total	71442
2019	8	MA	Combined Heat and Power, Commercial Power	Hydroelectric Conventional	96
2019	8	MA	Combined Heat and Power, Commercial Power	Natural Gas	61426
2019	8	MA	Combined Heat and Power, Commercial Power	Petroleum	6146
2019	8	MA	Combined Heat and Power, Commercial Power	Solar Thermal and Photovoltaic	810
2019	8	MA	Combined Heat and Power, Commercial Power	Other Biomass	1760
2019	8	MA	Combined Heat and Power, Commercial Power	Wind	1205
2019	8	MA	Combined Heat and Power, Electric Power	Total	181980
2019	8	MA	Combined Heat and Power, Electric Power	Natural Gas	181948
2019	8	MA	Combined Heat and Power, Electric Power	Petroleum	32
2019	8	MA	Electric Generators, Independent Power Producers	Total	1650990
2019	8	MA	Electric Generators, Independent Power Producers	Coal	0
2019	8	MA	Electric Generators, Independent Power Producers	Pumped Storage	-42616
2019	8	MA	Electric Generators, Independent Power Producers	Hydroelectric Conventional	57537
2019	8	MA	Electric Generators, Independent Power Producers	Natural Gas	1332772
2019	8	MA	Electric Generators, Independent Power Producers	Other	82758
2019	8	MA	Electric Generators, Independent Power Producers	Petroleum	5168
2019	8	MA	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	115957
2019	8	MA	Electric Generators, Independent Power Producers	Other Biomass	80465
2019	8	MA	Electric Generators, Independent Power Producers	Wind	8410
2019	8	MA	Electric Generators, Independent Power Producers	Wood and Wood Derived Fuels	10539
2019	8	MA	Electric Generators, Electric Utilities	Total	60914
2019	8	MA	Electric Generators, Electric Utilities	Hydroelectric Conventional	17098
2019	8	MA	Electric Generators, Electric Utilities	Natural Gas	29329
2019	8	MA	Electric Generators, Electric Utilities	Other	0
2019	8	MA	Electric Generators, Electric Utilities	Petroleum	1053
2019	8	MA	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	10126
2019	8	MA	Electric Generators, Electric Utilities	Wind	3308
2019	9	MA	Total Electric Power Industry	Total	1493400
2019	9	MA	Total Electric Power Industry	Coal	0
2019	9	MA	Total Electric Power Industry	Pumped Storage	-39773
2019	9	MA	Total Electric Power Industry	Hydroelectric Conventional	64546
2019	9	MA	Total Electric Power Industry	Natural Gas	1172477
2019	9	MA	Total Electric Power Industry	Other	79418
2019	9	MA	Total Electric Power Industry	Petroleum	3158
2019	9	MA	Total Electric Power Industry	Solar Thermal and Photovoltaic	108937
2019	9	MA	Total Electric Power Industry	Other Biomass	78412
2019	9	MA	Total Electric Power Industry	Wind	16137
2019	9	MA	Total Electric Power Industry	Wood and Wood Derived Fuels	10089
2019	9	MA	Combined Heat and Power, Industrial Power	Total	21100
2019	9	MA	Combined Heat and Power, Industrial Power	Coal	0
2019	9	MA	Combined Heat and Power, Industrial Power	Natural Gas	20451
2019	9	MA	Combined Heat and Power, Industrial Power	Other	0
2019	9	MA	Combined Heat and Power, Industrial Power	Petroleum	24
2019	9	MA	Combined Heat and Power, Industrial Power	Solar Thermal and Photovoltaic	444
2019	9	MA	Combined Heat and Power, Industrial Power	Wind	182
2019	9	MA	Combined Heat and Power, Commercial Power	Total	55174
2019	9	MA	Combined Heat and Power, Commercial Power	Hydroelectric Conventional	230
2019	9	MA	Combined Heat and Power, Commercial Power	Natural Gas	50878
2019	9	MA	Combined Heat and Power, Commercial Power	Petroleum	478
2019	9	MA	Combined Heat and Power, Commercial Power	Solar Thermal and Photovoltaic	697
2019	9	MA	Combined Heat and Power, Commercial Power	Other Biomass	1268
2019	9	MA	Combined Heat and Power, Commercial Power	Wind	1623
2019	9	MA	Combined Heat and Power, Electric Power	Total	145612
2019	9	MA	Combined Heat and Power, Electric Power	Natural Gas	145577
2019	9	MA	Combined Heat and Power, Electric Power	Petroleum	35
2019	9	MA	Electric Generators, Independent Power Producers	Total	1231822
2019	9	MA	Electric Generators, Independent Power Producers	Coal	0
2019	9	MA	Electric Generators, Independent Power Producers	Pumped Storage	-39773
2019	9	MA	Electric Generators, Independent Power Producers	Hydroelectric Conventional	49309
2019	9	MA	Electric Generators, Independent Power Producers	Natural Gas	944651
2019	9	MA	Electric Generators, Independent Power Producers	Other	79418
2019	9	MA	Electric Generators, Independent Power Producers	Petroleum	1873
2019	9	MA	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	99118
2019	9	MA	Electric Generators, Independent Power Producers	Other Biomass	77143
2019	9	MA	Electric Generators, Independent Power Producers	Wind	9994
2019	9	MA	Electric Generators, Independent Power Producers	Wood and Wood Derived Fuels	10089
2019	9	MA	Electric Generators, Electric Utilities	Total	39691
2019	9	MA	Electric Generators, Electric Utilities	Hydroelectric Conventional	15008
2019	9	MA	Electric Generators, Electric Utilities	Natural Gas	10919
